variety,type,trait,domain,maturity_ds,maturity_ws,yield
DEKALB 9051,Hybrid,Yellow,Mindanao,103.83,102,7.59
DEKALB 868 (PA 8201),Hybrid,Yellow,Mindanao,98,100.3,6.35
30B80,Hybrid,Yellow,Visayas,105,103.67,5.56
30P95,Hybrid,Yellow,National,103.9,102.6,7.55
NK 8860,Hybrid,Yellow,Luzon,106,102,8.9
Bioseed 9888,Hybrid,Yellow,Mindanao,103,105,7.21
Bioseed 9909,Hybrid,Yellow,Mindanao,100,100,7.27
Bioseed 9744,Hybrid,Yellow,Visayas,101,99,5.15
DK 3668w,Hybrid,Yellow,Visayas,101,105,5.7
DK 3668w,Hybrid,Yellow,Mindanao,101,105,5.7
DK 979,Hybrid,Yellow,Luzon,105,101,8.45
DK 979,Hybrid,Yellow,Visayas,105,101,8.45
DK 9132,Hybrid,Yellow,Luzon,105,101,8.53
DK 9132,Hybrid,Yellow,Visayas,105,101,8.53
CW 821,Hybrid,Yellow,Luzon,104,101,7.55
CW 811,Hybrid,Yellow,Luzon,104,100,7.39
CW 801,Hybrid,Yellow,Luzon,103,100,7.55
USMARC T X 010,Hybrid,White,Visayas,102,103,5.08
USMARC T X 012,Hybrid,White,Visayas,102,104,5.34
IES Cn 5,OPV,Yellow,Luzon,105,100,6.39
IES Glut 4,OPV Glutinous Corn,White,National,98,97,5.3
Bioseed 9744 Plus,Hybrid,White,Visayas,100,99,5.68
Bioseed 9744 Plus,Hybrid,White,Mindanao,100,99,5.68
Ghen 703,Hybrid,Yellow,Luzon,103,102,8.24
Ghen 802w,Hybrid,White,Visayas,103,101,5.32
Ghen 802w,Hybrid,White,Mindanao,103,101,5.32
NK 8870,Hybrid,Yellow,Luzon,105,100,8.64
NK 8870,Hybrid,Yellow,Visayas,105,100,8.64
Los Baños White Gold,Hybrid,White,Luzon,104,102,6.44
IES Glut 6,OPV Glutinous Corn,White,National,98,98,5.31
IES Glut 7,OPV Glutinous Corn,White,National,97,98,5.54
TB 8108,Hybrid,Yellow,Luzon,105,100,8.24
TB 8108,Hybrid,Yellow,Visayas,105,100,8.24
DK 878,Hybrid Genetically Modified,Other,Mindanao,102,103,7.21
30M73,Hybrid,Yellow,National,103,102,7.01
30N34,Hybrid,Yellow,Luzon,107,100,8.4
CW 831,Hybrid,Yellow,Luzon,107,100,8.61
DK 818 YG,Hybrid Three-way Cross,Other,National,107,100,8.84
DK 838 YG,Hybrid,Yellow,National,104,100,8.4
30Y50,Hybrid,Yellow,Visayas,103,102,6.08
30Y50,Hybrid,Yellow,Mindanao,103,102,6.08
30Y34,Hybrid,Yellow,Luzon,105,100,6.77
30Y75,Hybrid,Yellow,Luzon,102,102,7.7
30Y75,Hybrid,Yellow,Mindanao,102,102,7.7
30Y80,Hybrid,Yellow,Luzon,105,103.67,5.6
30Y80,Hybrid,Yellow,Visayas,105,103.67,5.6
30Y95,Hybrid,Yellow,National,104,103,7.55
DK 818-2 (RRC2),Hybrid Genetically Modified,Other,National,103,102,7.58
DK 868-1 (YG),Hybrid Genetically Modified,Other,Mindanao,98,100,6.35
DK 909-1 (YG),Hybrid Genetically Modified,Other,National,100.7,99.5,7.62
DK 9051-1 (YG),Hybrid Genetically Modified,Other,National,103.83,102,7.59
DK 9161-1(YG),Hybrid Genetically Modified,Other,Luzon,106,100,7.4
Nk 6204,Hybrid,Yellow,National,106,104,7.17
Bioseed 9899,Hybrid,Yellow,Luzon,104,103,7.21
Bioseed 9899,Hybrid,Yellow,Mindanao,104,103,7.21
NK 6614,Hybrid,Yellow,Luzon,106,104,7.28
NK 6614,Hybrid,Yellow,Mindanao,106,104,7.28
Filipina 753,Hybrid,Yellow,Mindanao,104,104,5.61
NK 6624,Hybrid,Yellow,Mindanao,104,106,7.08
CW 847,Hybrid,Yellow,Mindanao,102,102,5.57
CW 848,Hybrid,Yellow,Mindanao,104,104,5.38
G 804,Hybrid,White,Visayas,102,103,6
G 804,Hybrid,White,Mindanao,102,103,6
IPB Var 9 ,OPV,Yellow,Mindanao,105,105,5.04
USM Var 16,OPV,White,Luzon,103,102,5.78
USM Var 16,OPV,White,Mindanao,103,102,5.78
USM Var 18,OPV,White,Luzon,103,100,5.41
USM Var 18,OPV,White,Mindanao,103,100,5.41
IES 89-10,OPV,White,Luzon,105,98,5.52
IES 89-12,OPV,White,Luzon,105,97,5.48
TSG 80,Hybrid,Yellow,Luzon,105,102,7.1
TSG 80,Hybrid,Yellow,Mindanao,105,102,7.1
TSG 89,Hybrid,Yellow,Luzon,102,103,7.39
TSG 89,Hybrid,Yellow,Mindanao,102,103,7.39
Cw 18-69,Hybrid,Yellow,Luzon,102,103,8.46
Cw 18-69,Hybrid,Yellow,Mindanao,102,103,8.46
CW 44-81,Hybrid,Yellow,Luzon,102,102,8.88
CW 44-81,Hybrid,Yellow,Mindanao,102,102,8.88
NK 6745,Hybrid,Yellow,Luzon,103,101,8.2
NK 6745,Hybrid,Yellow,Mindanao,103,101,8.2
NK 32W,Hybrid,Yellow,Mindanao,102,104,5.44
30B42,Hybrid,Yellow,Luzon,106,102,7.47
CW 850,Hybrid,Yellow,Mindanao,106,105,5.39
CW 851,Hybrid,Yellow,Luzon,104,103,7.91
CW 1441,Hybrid,Yellow,Luzon,106,103,7.2
CW 1441,Hybrid,Yellow,Mindanao,106,103,7.2
TSG 398,Hybrid,Yellow,Luzon,102,105,7.79
TSG 388,Hybrid,Yellow,Mindanao,101,104,6
TSG 366,Hybrid,Yellow,Mindanao,102,106,5.95
Bioseed 9540,Hybrid,Yellow,Luzon,104,105,8.05
Bioseed 9540,Hybrid,Yellow,Mindanao,104,105,8.05
30W40,Hybrid,White,Visayas,102,101,6.93
USM Var 22,OPV,White,Luzon,105,103,5.89
USM Var 20,OPV,White,Luzon,107,102,5.97
USM Var 20,OPV,White,Visayas,107,102,5.97
GSI 96,Hybrid,Yellow,Mindanao,101,103,6.41
USM-DA Syn 0205                 USM Var 24,Hybrid,Yellow,Luzon,101,103,6.07
CW 1401,Hybrid,Yellow,Luzon,108,104,7.4
CW 789,Hybrid,Yellow,Luzon,105,104,7.86
NK 6654,Hybrid,Yellow,Luzon,105,101,8.65
NK 6654,Hybrid,Yellow,Visayas,105,101,8.65
NK 6645,Hybrid,Yellow,National,105,104,7.55
NK 6226,Hybrid,Yellow,Luzon,107,103,7.96
NK 6226,Hybrid,Yellow,Mindanao,107,103,7.96
NK 6626,Hybrid,Yellow,Luzon,108,105,7.96
NK 6626,Hybrid,Yellow,Mindanao,108,105,7.96
Bioseed 9541,Hybrid,Yellow,Visayas,103,103,7.59
Bioseed 9541,Hybrid,Yellow,Mindanao,103,103,7.59
Bioseed 9542,Hybrid,Yellow,National,105,103,7.2
PAC 105,Hybrid,Yellow,National,107,106,7.37
PAC 555,Hybrid,Yellow,Luzon,108,106,7.19
PAC 259,Hybrid,Yellow,Luzon,109,102,7.59
P 3482,Hybrid,Yellow,Mindanao,102,104,6.48
Mt. Apo Gold 900y,OPV,Yellow,Luzon,106,102,6.1
IPB Var 13,OPV,Yellow,Luzon,107,102,6.76
