variety,type,trait,domain,maturity_ds,maturity_ws,yield
DEKALB®9919S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,107,105,7.79
IPB Var DM1,OPV,Other,Mindanao,107,106,5.25
CW 1840,Hybrid Conventional,Yellow,Luzon,106,105,8.43
CW 1777,Hybrid Conventional,Yellow,Luzon,110,103,8.64
P3582YHR,Hybrid Conventional,Yellow,Mindanao,105,105,9.1
P3585YHR,Hybrid Conventional,Yellow,Luzon,105,107,8.89
DEKALB®8282S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Luzon,108,105,9.11
DEKALB®8282S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,108,105,9.11
DEKALB®8131S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,107,107,7.99
NK306 BGT,Hybrid Conventional,Yellow,Mindanao,,103,10.82
NK6410 BGT,Hybrid Conventional,Yellow,Mindanao,,103,10.89
NK6414 BGT,Hybrid Conventional,Yellow,Luzon,,105,11.73
NK6414 BGT,Hybrid Conventional,Yellow,Mindanao,,105,11.73
NK6505 BGT,Hybrid Conventional,Yellow,Mindanao,,104,11.06
PT8130S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,109,107,7.65
PT8228S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,106,108,7.29
CW 476,Hybrid Conventional,Yellow,Luzon,108,105,9.44
PU9044SVTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,109,110,7.98
P3660YHR,Hybrid Conventional,Yellow,Mindanao,108,109,7.95
P3532YHR,Hybrid Conventional,Yellow,Luzon,109,107,10.04
P3532YHR,Hybrid Conventional,Yellow,Mindanao,109,107,8.31
NK6035 BGT,Hybrid Conventional,Yellow,Mindanao,109,107,8.58
NK6270 BGT,Hybrid Conventional,Yellow,Luzon,109,105.5,9.47
NK6270 BGT,Hybrid Conventional,Yellow,Mindanao,109,105.5,8.28
